"Post.Code","covidest","covidprobinc","SE1est","SE1probinc"
"IV31",-0.0391727951883228,0.0683333333333333,-0.0334330996892655,0.063
"IV32",-0.0548502192240524,0.0346666666666667,-0.0467698579004833,0.0343333333333333
"IV36",0.00409986958854909,0.561333333333333,0.0024998462994631,0.548
"IV4",-0.00871352591509196,0.371,-0.00751132481487989,0.366333333333333
"IV40",-0.0101388438075399,0.375,-0.00904604997255781,0.363666666666667
"IV51",0.0276744075527537,0.756666666666667,0.0236490080481467,0.745333333333333
"IV6",-0.0185114892291588,0.239666666666667,-0.0159065822293227,0.229
"IV63",0.00145237756055701,0.519,0.000853269276603077,0.515333333333333
"IV7",-0.0351441515736214,0.0806666666666667,-0.0304981654427379,0.0776666666666667
"KA1",-0.0339249007365539,0.061,-0.0288240956197642,0.063
"KA10",-0.0134784305012778,0.280666666666667,-0.0114014782238454,0.28
"KA11",-0.00527430495623686,0.408333333333333,-0.00510546693660151,0.402333333333333
"KA12",-0.0257685233264752,0.144666666666667,-0.0222371971948403,0.144
"KA13",-0.00461358564796251,0.429333333333333,-0.00423466524011087,0.43
"KA15",-0.00969565078405045,0.382666666666667,-0.00854344849392782,0.379
"KA16",-0.0184394367089213,0.273333333333333,-0.015582138376883,0.272
"KA17",-0.0304171643190905,0.124666666666667,-0.0260169983711802,0.124666666666667
"KA18",-0.0169401376181045,0.268333333333333,-0.0148966251160818,0.27
"KA19",-0.0252532497312492,0.177666666666667,-0.0218615826417272,0.177333333333333
"KA2",-0.0230648374857147,0.200666666666667,-0.0199660871079397,0.200333333333333
"KA20",0.00287955187365113,0.544,0.00210356738761011,0.536333333333333
"KA21",0.0263894798367482,0.838333333333333,0.0225546506616056,0.838666666666667
"KA22",0.00986180608847101,0.655333333333333,0.00835205874673201,0.646333333333333
"KA23",-0.0137248180175612,0.308666666666667,-0.0123229906196653,0.311333333333333
"KA24",-0.00489262702960051,0.417333333333333,-0.00431120972768147,0.419
"KA25",0.00637981956958467,0.573666666666667,0.00495903899098722,0.573
"KA26",-0.039367471565372,0.116333333333333,-0.0340190749230022,0.109333333333333
"KA27",-0.0206576134894062,0.232666666666667,-0.0175726769718613,0.232333333333333
"KA29",-0.00994488815575573,0.369333333333333,-0.00896517492527606,0.365
"KA3",-0.00959040409202143,0.336,-0.00851344999920317,0.333666666666667
"KA30",-0.0317038582232608,0.120666666666667,-0.0272613467311844,0.117333333333333
"KA4",-0.00389310849594871,0.438,-0.00312595889629831,0.446666666666667
"KA5",0.00204657808141424,0.533,0.00175526399808972,0.530333333333333
"KA6",-0.00745817168828354,0.378,-0.00641282181788809,0.377666666666667
"KA7",-0.00425983366606469,0.433666666666667,-0.00402918511933849,0.423666666666667
"KA8",-0.0173213041234625,0.219666666666667,-0.0154100382505583,0.215666666666667
"KA9",-0.00196671193867297,0.464666666666667,-0.00199798396802251,0.456666666666667
"KW1",-0.0651667282356264,0.034,-0.0580266196157672,0.0316666666666667
"KW10",-0.0299711420851186,0.179333333333333,-0.02588510750604,0.175
"KW12",-0.0472749699196576,0.0793333333333333,-0.0420940231864297,0.0783333333333333
"KW14",-0.0502090377548755,0.0746666666666667,-0.0444084597586657,0.0763333333333333
"KW15",-0.0374869438803336,0.133,-0.0335195101402212,0.134
"KW16",-0.0464239296672935,0.0946666666666667,-0.0403736138542695,0.0903333333333333
"KW17",-0.0524063777888161,0.0576666666666667,-0.046650487520067,0.0556666666666667
